Counties,State,Oats,Soybeans,Wheat,Corn
Montgomery,Illinois,7880,6060862,648269,13989272
Pocahontas,Iowa,50490,6072013,,28486444
Polk,Iowa,9120,3247978,,13729963
Polk,Missouri,1358,104651,160530,74522
Pope,Illinois,1664,388915,50051,571727
Porter,Indiana,5760,2345641,104635,9379981
Posey,Indiana,,3579504,2136896,8716484
Preble,Ohio,1380,3423685,347884,8111623
Pulaski,Illinois,,1014286,307197,1683040
Pulaski,Indiana,,2589624,42406,11511438
Platte,Missouri,,1318940,41628,2355240
Putnam,Illinois,,729305,35447,4092093
Putnam,Missouri,4050,709853,4810,621460
Putnam,Ohio,5755,6923051,1960194,9767662
Randolph,Illinois,,3924907,2552780,3541938
Randolph,Indiana,3259,4731511,374234,8892932
Ray,Missouri,,2117380,96602,3209665
Ripley,Indiana,,2295382,131674,5434679
Ripley,Missouri,,314681,41938,313406
Ross,Ohio,6693,2134482,424721,5089268
Rush,Indiana,,3319329,258172,7536607
Putnam,Indiana,,2023891,275981,4462171
Pike,Ohio,1625,621960,45817,1507750
Pike,Missouri,14735,2144683,473908,3244651
Pike,Indiana,,952631,147657,1863576
Montgomery,Indiana,,4118695,103273,13517648
Montgomery,Iowa,3100,3481166,,12377347
Morgan,Illinois,1360,4491003,113163,16872137
Morgan,Indiana,,1610301,72933,3228200
NewMadrid,Missouri,,5110757,1091854,9808820
Newton,Indiana,,2697017,157559,13636738
Oakland,Michigan,,106614,69595,473807
Ohio,Indiana,,94345,10984,164161
Osage,Missouri,,338951,52340,837041
Oscoda,Michigan,,,,53306
Ottawa,Ohio,26630,3108098,242292,3723430
Owen,Indiana,,606059,80609,1286649
Parke,Indiana,2030,1581362,95993,4000534
Pemiscot,Missouri,,5118416,900806,4448064
Perry,Illinois,,1767101,1243777,1017096
Perry,Indiana,,302262,28296,657665
Perry,Ohio,33848,841376,47190,2564315
Phelps,Missouri,,,,21217
Piatt,Illinois,,5314675,68493,17085706
Pickaway,Ohio,2420,4572654,699195,10485660
Pike,Illinois,27450,3619098,272955,13834019
SaintClair,Illinois,,3673314,1607006,5970350
Mendocino,California,,,,
Sanilac,Michigan,77624,5550238,4075304,15659567
SanLuisObispo,California,29928,,,34431
Douglas,Minnesota,195740,2641907,589922,8870004
Douglas,Wisconsin,13660,,,29900
Dubuque,Iowa,219555,1362741,,16124314
Dunn,Wisconsin,199462,2032549,11304,14521079
Eaton,Michigan,15340,2975233,1147081,7537074
EauClaire,Wisconsin,129044,709868,20698,5314141
Elkhart,Indiana,7220,2093989,108435,6396325
Emmet,Iowa,2980,3682533,,17144234
Emmet,Michigan,15839,,2015,72596
Douglas,Illinois,149536,4677447,67259,11948683
Faribault,Minnesota,45924,7601542,,35392562
Fillmore,Minnesota,365632,3557358,3571,26296445
Florence,Wisconsin,,,,
Floyd,Iowa,19218,3999142,,19924497
FondDuLac,Wisconsin,101677,1940464,1239004,9215026
Ford,Illinois,12580,5204644,321955,12213295
Forest,Wisconsin,13830,,,
Franklin,Iowa,48684,4399129,,31174310
Franklin,Missouri,1287,882446,133608,1248253
Freeborn,Minnesota,31816,5937967,17638,31503419
Fayette,Iowa,66107,4908561,,26405606
Fresno,California,197099,,5833793,816638
Door,Wisconsin,161918,371769,858905,2223066
Dodge,Minnesota,53981,3245281,9694,21634804
Crawford,Iowa,42717,6109518,,28702130
Crawford,Wisconsin,94270,546586,56710,3813598
CrowWing,Minnesota,42207,76159,22782,1261259
Dakota,Minnesota,55363,2425954,32340,17333439
Dallas,Iowa,12837,3786469,,18126486
Dallas,Missouri,,40793,46343,4155
Dane,Wisconsin,106285,3113351,1079402,18333619
Darke,Ohio,11702,6112586,882676,12706021
Daviess,Indiana,6119,1682645,290280,7418112
Dodge,Wisconsin,187755,3066517,1150284,17755494
Daviess,Missouri,22891,1809600,152221,1689713
Decatur,Iowa,7019,1211337,9864,2151052
Dekalb,Illinois,257159,5107964,533049,37819783
Dekalb,Missouri,,1553007,159650,2041956
Delaware,Iowa,178323,2334793,,28679110
Delaware,Ohio,17200,2869984,192229,5669734
Delta,Michigan,65983,,15505,282164
Dewitt,Illinois,3100,4303490,,12125923
Dickinson,Iowa,5092,3467667,,13086381
Dickinson,Michigan,12993,,,87832
Davis,Iowa,33229,991027,39011,1821443
Geauga,Ohio,121076,158730,21212,754819
Genesee,Michigan,15520,1744612,450289,3927755
Gentry,Missouri,11161,1520461,171323,1852296
Hillsdale,Michigan,32507,3107534,700606,7702360
Holmes,Ohio,349412,757771,97057,3991874
Houghton,Michigan,17134,,,29257
Houston,Minnesota,159678,1150473,27470,8636270
Howard,Iowa,74997,4442078,,18432562
Howard,Missouri,4064,1346335,251471,2123518
Hubbard,Minnesota,63856,132298,86613,1881985
Humboldt,Iowa,12979,3912426,,17641270
Huron,Michigan,70554,2247221,4893531,15216015
Highland,Ohio,6636,4322787,358386,6407163
Huron,Ohio,46810,3969865,574328,10788128
Imperial,California,,,8880319,95496
Ingham,Michigan,14300,2303453,1488963,7921014
Ionia,Michigan,36009,2933669,934268,10946684
Iosco,Michigan,16741,83814,60720,536635
Iowa,Iowa,38755,4550484,,17680929
Iowa,Wisconsin,122324,1137858,209696,5092391
Iron,Michigan,26698,,6834,
Iroquois,Illinois,36183,10589097,411757,41728610
Isabella,Michigan,73070,2211020,1241678,5000529
Ida,Iowa,38220,4028409,,17001399
Henry,Missouri,6150,1305902,1067399,677988
Henry,Indiana,8215,2998816,168667,6684944
Henry,Illinois,27652,7410739,65060,33869144
Gladwin,Michigan,42079,268962,101372,859458
Goodhue,Minnesota,117017,4754919,21197,30822730
GrandTraverse,Michigan,48863,38879,62310,625989
Grant,Wisconsin,426536,2292185,188747,14226742
